date;Paris;Hauts-de-Seine;Seine-Saint-Denis;Val-de-Marne;Ile-de-France
18/02/2020;-2,4;-8,1;-4,0;-5,3;-5,0
19/02/2020;-1,7;-7,0;-4,3;-5,1;-4,4
20/02/2020;-0,9;-5,7;-4,3;-5,3;-3,9
21/02/2020;0,1;-5,6;-5,1;-6,1;-3,7
22/02/2020;0,1;-5,9;-6,1;-6,9;-4,0
23/02/2020;0,7;-5,6;-6,3;-6,9;-3,6
24/02/2020;1,3;-5,1;-6,7;-7,4;-3,4
25/02/2020;1,6;-4,6;-6,9;-7,3;-3,1
26/02/2020;1,1;-3,1;-6,3;-6,3;-2,6
27/02/2020;-1,6;-5,1;-7,1;-6,0;-3,9
28/02/2020;-3,4;-5,7;-7,1;-6,0;-4,6
29/02/2020;-4,4;-5,6;-7,0;-5,9;-4,7
01/03/2020;-6,1;-5,6;-7,1;-5,9;-5,3
02/03/2020;-8,0;-6,1;-7,1;-6,0;-6,1
03/03/2020;-9,4;-6,3;-7,1;-6,1;-6,7
04/03/2020;-10,4;-7,4;-7,4;-6,4;-7,3
05/03/2020;-10,6;-7,3;-7,1;-6,4;-7,3
06/03/2020;-10,9;-7,4;-7,3;-6,4;-7,4
07/03/2020;-12,0;-8,1;-7,9;-6,9;-8,3
08/03/2020;-12,3;-8,1;-8,0;-6,9;-8,4
09/03/2020;-12,9;-8,1;-8,3;-6,7;-8,6
10/03/2020;-15,1;-9,3;-9,1;-7,4;-9,7
11/03/2020;-19,3;-12,0;-11,4;-9,9;-12,6
12/03/2020;-26,9;-17,7;-16,6;-16,6;-18,6
13/03/2020;-35,6;-24,7;-20,6;-21,3;-24,3
14/03/2020;-46,0;-34,7;-28,6;-30,0;-33,3
15/03/2020;-57,1;-46,0;-38,6;-40,6;-44,0
16/03/2020;-67,9;-57,1;-48,1;-50,6;-54,6
17/03/2020;-78,0;-67,6;-58,0;-60,7;-64,6
18/03/2020;-86,1;-76,0;-66,9;-69,7;-73,1
19/03/2020;-89,9;-81,1;-72,4;-74,7;-78,3
20/03/2020;-92,7;-85,4;-78,4;-80,4;-83,4
21/03/2020;-93,4;-86,6;-80,6;-82,1;-85,0
22/03/2020;-93,7;-86,9;-81,0;-82,4;-85,1
23/03/2020;-93,9;-87,1;-81,4;-82,6;-85,3
24/03/2020;-94,0;-87,1;-81,7;-82,6;-85,4
25/03/2020;-94,0;-87,1;-81,7;-82,4;-85,4
26/03/2020;-94,1;-87,7;-82,0;-82,9;-85,7
27/03/2020;-94,3;-88,0;-82,6;-83,3;-86,1
28/03/2020;-94,7;-88,7;-84,3;-84,9;-87,3
29/03/2020;-95,0;-89,4;-85,7;-86,1;-88,3
30/03/2020;-95,3;-90,0;-87,0;-87,6;-89,4
31/03/2020;-95,4;-90,3;-87,6;-88,1;-89,9
01/04/2020;-95,4;-90,3;-87,9;-88,4;-90,0
02/04/2020;-95,3;-89,9;-87,7;-88,1;-89,9
03/04/2020;-95,4;-89,9;-87,9;-88,3;-89,9
04/04/2020;-95,1;-89,1;-86,4;-86,9;-88,9
05/04/2020;-94,9;-88,4;-85,3;-85,6;-88,0
06/04/2020;-94,6;-87,7;-84,1;-84,1;-87,0
07/04/2020;-94,4;-87,3;-83,7;-83,6;-86,6
08/04/2020;-94,4;-87,0;-83,4;-83,1;-86,3
09/04/2020;-94,4;-86,9;-83,6;-83,0;-86,1
10/04/2020;-94,4;-87,3;-84,6;-83,7;-86,9
11/04/2020;-94,3;-87,0;-83,9;-83,1;-86,4
12/04/2020;-94,1;-86,7;-83,4;-82,7;-86,1
13/04/2020;-94,1;-86,4;-83,0;-82,3;-85,9
14/04/2020;-94,0;-86,3;-82,7;-82,0;-85,7
15/04/2020;-93,9;-86,3;-82,6;-81,9;-85,7
16/04/2020;-93,7;-86,1;-82,3;-81,7;-85,7
17/04/2020;-93,4;-85,1;-80,4;-80,0;-84,4
18/04/2020;-93,4;-85,1;-80,6;-79,9;-84,4
19/04/2020;-93,4;-85,0;-80,1;-79,6;-84,3
20/04/2020;-93,3;-84,9;-79,7;-79,4;-84,1
21/04/2020;-93,3;-84,7;-79,4;-79,3;-84,0
22/04/2020;-93,3;-84,4;-79,1;-79,0;-83,7
23/04/2020;-93,1;-84,1;-79,0;-78,7;-83,4
24/04/2020;-93,0;-84,0;-78,9;-78,7;-83,3
25/04/2020;-92,9;-83,9;-78,9;-78,6;-83,1
26/04/2020;-92,9;-83,9;-79,0;-78,3;-83,0
27/04/2020;-92,7;-83,4;-78,4;-77,4;-82,3
28/04/2020;-93,0;-84,3;-79,9;-79,0;-83,4
29/04/2020;-92,7;-83,6;-78,9;-78,1;-82,7
30/04/2020;-92,7;-83,6;-78,6;-78,0;-82,7
01/05/2020;-92,4;-83,0;-77,4;-76,9;-81,9
02/05/2020;-92,3;-82,6;-76,1;-76,0;-81,3
03/05/2020;-91,7;-81,7;-74,6;-75,1;-80,4
04/05/2020;-91,3;-81,1;-73,7;-74,6;-80,0
05/05/2020;-90,9;-80,4;-72,0;-73,0;-78,9
06/05/2020;-90,7;-80,4;-71,9;-73,0;-78,9
07/05/2020;-90,4;-79,9;-71,4;-72,6;-78,4
08/05/2020;-88,7;-77,7;-69,1;-70,3;-76,0
