date;Paris;Hauts-de-Seine;Seine-Saint-Denis;Val-de-Marne;Ile-de-France
18/02/2020;-6,3;-10,7;-2,3;-7,4;-5,0
19/02/2020;-6,1;-9,6;-2,3;-7,3;-4,7
20/02/2020;-5,6;-9,0;-2,0;-7,1;-4,3
21/02/2020;-4,3;-6,9;-1,0;-5,1;-2,7
22/02/2020;-3,7;-5,3;-0,1;-4,0;-1,4
23/02/2020;-3,0;-3,9;0,6;-3,3;-0,4
24/02/2020;-1,9;-2,0;1,1;-2,3;0,7
25/02/2020;-0,6;-0,3;2,0;-0,4;2,0
26/02/2020;-1,0;0,6;2,4;-0,1;1,9
27/02/2020;-3,0;0,1;1,9;-0,9;0,6
28/02/2020;-3,6;-0,3;2,0;-1,1;0,0
29/02/2020;-3,7;-1,0;1,9;-1,7;-0,6
01/03/2020;-4,3;-1,4;1,9;-1,9;-1,1
02/03/2020;-5,3;-2,0;1,6;-1,9;-1,7
03/03/2020;-6,3;-2,6;1,1;-2,9;-2,4
04/03/2020;-6,9;-3,6;1,0;-2,9;-3,0
05/03/2020;-6,9;-4,3;0,4;-3,3;-3,6
06/03/2020;-7,6;-5,0;-0,6;-3,7;-4,1
07/03/2020;-8,6;-5,6;-1,4;-4,0;-4,9
08/03/2020;-8,7;-5,9;-1,7;-3,9;-5,1
09/03/2020;-9,4;-6,9;-2,0;-4,3;-5,9
10/03/2020;-11,1;-8,3;-3,0;-5,1;-7,3
11/03/2020;-14,3;-11,6;-5,9;-8,0;-10,3
12/03/2020;-17,6;-14,0;-7,7;-10,3;-12,9
13/03/2020;-22,3;-19,7;-11,1;-15,1;-17,7
14/03/2020;-30,6;-28,7;-18,3;-23,1;-26,0
15/03/2020;-40,4;-39,0;-27,9;-32,9;-35,9
16/03/2020;-50,6;-49,3;-37,7;-43,1;-45,9
17/03/2020;-60,3;-59,1;-47,1;-52,6;-55,7
18/03/2020;-69,3;-67,6;-56,1;-61,1;-64,6
19/03/2020;-77,6;-76,0;-65,3;-69,7;-73,0
20/03/2020;-83,4;-81,0;-71,9;-75,3;-78,9
21/03/2020;-85,7;-82,7;-74,9;-77,7;-81,3
22/03/2020;-86,3;-83,3;-75,9;-78,6;-82,1
23/03/2020;-86,7;-83,7;-76,7;-79,1;-82,9
24/03/2020;-87,0;-84,0;-77,3;-79,7;-83,3
25/03/2020;-87,0;-84,0;-77,6;-79,9;-83,4
26/03/2020;-87,3;-84,4;-78,3;-80,6;-84,0
27/03/2020;-87,4;-84,6;-78,4;-81,0;-84,1
28/03/2020;-87,4;-84,6;-78,4;-81,1;-84,3
29/03/2020;-87,4;-84,4;-78,3;-81,0;-84,3
30/03/2020;-87,4;-84,4;-78,1;-81,0;-84,3
31/03/2020;-87,3;-84,3;-78,0;-80,9;-84,1
01/04/2020;-87,0;-84,0;-77,4;-80,4;-83,7
02/04/2020;-86,4;-83,1;-76,6;-79,6;-83,0
03/04/2020;-86,3;-83,0;-76,3;-79,3;-82,9
