Titre;Emploi salarié total
T4_2010;1736
T1_2011;1742,5
T2_2011;1743,6
T3_2011;1743,1
T4_2011;1745,7
T1_2012;1741,9
T2_2012;1745,5
T3_2012;1735,4
T4_2012;1734,2
T1_2013;1733,6
T2_2013;1729,6
T3_2013;1728,8
T4_2013;1738,2
T1_2014;1744,1
T2_2014;1741,1
T3_2014;1744,6
T4_2014;1743,7
T1_2015;1742,1
T2_2015;1745,6
T3_2015;1748,8
T4_2015;1752,2
T1_2016;1755,4
T2_2016;1758,8
T3_2016;1762,8
T4_2016;1768,9
T1_2017;1780,4
T2_2017;1787,6
T3_2017;1793,4
T4_2017;1800,8
T1_2018;1807,3
T2_2018;1810,2
T3_2018;1821,2
T4_2018;1836,9
T1_2019;1845,8
T2_2019;1856,2
T3_2019;1865,9
T4_2019;1865,6
T1_2020;1824,6
T2_2020;1800,6
T3_2020;1950,6
T4_2020;2000,0
T1_2021;2050,0
