Titre;Emploi intérimaire total
2011-T1;43673
2011-T2;41944
2011-T3;45267
2011-T4;46535
2012-T1;40690
2012-T2;41691
2012-T3;39364
2012-T4;39686
2013-T1;39422
2013-T2;40019
2013-T3;38707
2013-T4;39344
2014-T1;39039
2014-T2;38838
2014-T3;37290
2014-T4;36962
2015-T1;37281
2015-T2;36430
2015-T3;38045
2015-T4;39061
2016-T1;36875
2016-T2;38665
2016-T3;40173
2016-T4;42477
2017-T1;46697
2017-T2;49069
2017-T3;50314
2017-T4;51757
2018-T1;50990
2018-T2;51565
2018-T3;52964
2018-T4;54146
2019-T1;54090
2019-T2;55905
2019-T3;56322
2019-T4;52477
2020-T1;31199
2020-T2;35579
2020-T3;46463
