Titre;Emploi salarié (en milliers)
2011-T1;1742,7
2011-T2;1744,7
2011-T3;1745,0
2011-T4;1749,2
2012-T1;1744,1
2012-T2;1747,5
2012-T3;1737,1
2012-T4;1736,2
2013-T1;1733,9
2013-T2;1730,6
2013-T3;1729,5
2013-T4;1739,4
2014-T1;1745,3
2014-T2;1742,2
2014-T3;1745,7
2014-T4;1744,8
2015-T1;1743,2
2015-T2;1746,3
2015-T3;1749,9
2015-T4;1753,1
2016-T1;1756,8
2016-T2;1759,5
2016-T3;1764,5
2016-T4;1769,3
2017-T1;1780,8
2017-T2;1789,4
2017-T3;1791,2
2017-T4;1798,7
2018-T1;1804,3
2018-T2;1807,8
2018-T3;1812,5
2018-T4;1828,1
2019-T1;1837,5
2019-T2;1845,6
2019-T3;1863,3
2019-T4;1860,2
2020-T1;1819,6
2020-T2;1801,5
2020-T3;1829,0
2020-T4;1813,1
2021-T1;1823,1
2021-T2;1853,1
2021-T3;1883,7
2021-T4;1893,9
2022-T1;1908,2
