;Paris;Métropole du Grand Paris
2011-T1;45191;67967
2011-T2;43514;66112
2011-T3;47020;68988
2011-T4;47819;69284
2012-T1;42030;63134
2012-T2;43024;63345
2012-T3;40739;60529
2012-T4;41038;60153
2013-T1;40863;60217
2013-T2;41311;60426
2013-T3;40008;59043
2013-T4;40600;59583
2014-T1;40511;59434
2014-T2;40232;59517
2014-T3;38523;57441
2014-T4;38115;57995
2015-T1;38494;57200
2015-T2;37586;57374
2015-T3;39143;59861
2015-T4;39904;60601
2016-T1;37806;58460
2016-T2;39460;60517
2016-T3;41263;63036
2016-T4;42554;64746
2017-T1;46510;70580
2017-T2;49368;75127
2017-T3;50265;76074
2017-T4;50704;77749
2018-T1;51298;79832
2018-T2;51845;80057
2018-T3;52963;81999
2018-T4;52967;81142
2019-T1;54990;84144
2019-T2;56695;85666
2019-T3;56182;84996
2019-T4;51729;80114
2020-T1;31944;50634
2020-T2;36031;55523
2020-T3;45826;68952
2020-T4;45931;71356
2021-T1;44158;71944
2021-T2;44552;73532
2021-T3;46799;77352
2021-T4;49603;82036
2022-T1;49957;81830
2022-T2;49354;81799
2022-T3;49592;82661
2022-T4;49257;83451
2023-T1;47523;79911
2023-T2;47968;79526
2023-T3;46526;77686
2023-T4;44102;75019
2024-T1;44687;75607
2024-T2;42214;72939
2024-T3;40408;70736
2024-T4;39557;71726
2025-T1;39450;72456
2025-T2;38798;71833
2025-T3;38608;71757
