;Paris;Métropole du Grans Paris
2011-T1;45284;68105
2011-T2;43449;66045
2011-T3;46940;68857
2011-T4;48227;69653
2012-T1;42104;63235
2012-T2;43105;63432
2012-T3;40708;60519
2012-T4;41060;59976
2013-T1;40795;60176
2013-T2;41377;60494
2013-T3;39989;59064
2013-T4;40670;59435
2014-T1;40466;59436
2014-T2;40058;59283
2014-T3;38544;57511
2014-T4;38119;57823
2015-T1;38594;57288
2015-T2;37553;57280
2015-T3;39168;59917
2015-T4;39943;60674
2016-T1;37929;58552
2016-T2;39425;60437
2016-T3;41249;63047
2016-T4;42672;64909
2017-T1;46683;70752
2017-T2;49270;74985
2017-T3;50153;76024
2017-T4;50915;78113
2018-T1;51529;80088
2018-T2;51676;79816
2018-T3;52800;81879
2018-T4;53288;81654
2019-T1;55237;84382
2019-T2;56431;85316
2019-T3;56036;84890
2019-T4;52114;80720
2020-T1;32053;50664
2020-T2;35729;55171
2020-T3;45756;68932
2020-T4;46243;71889
2021-T1;44336;72035
2021-T2;44278;73281
2021-T3;46883;77512
2021-T4;49868;82590
2022-T1;50233;82036
