;Industrie;Construction;Tertiaire marchand hors interim;Tertiaire non marchand
2011-T1;100;100;100;100
2011-T2;99,8;100;100,4;100
2011-T3;99,1;99,8;100,4;100,1
2011-T4;98,7;101;101;99,8
2012-T1;98,8;101,9;101,5;100,1
2012-T2;98,8;101,9;102;99,9
2012-T3;98,7;102,4;102,5;99,9
2012-T4;99,1;102,8;103,2;99,7
2013-T1;99,2;102,8;103,1;99,7
2013-T2;98,7;102,9;103,1;100,1
2013-T3;97,6;102,9;103,5;99,7
2013-T4;97,1;103,7;103,3;100,8
2014-T1;97;104;103,4;101,1
2014-T2;96,3;103,6;103,8;101
2014-T3;96,2;103,2;103,1;101,1
2014-T4;95,3;101,4;102,7;101,1
2015-T1;95;100,9;103,7;100,9
2015-T2;94,8;100,6;103,7;101,2
2015-T3;94,2;99,2;104,1;101,2
2015-T4;93,6;98,9;104,5;101,6
2016-T1;93,1;98,2;104,5;102,2
2016-T2;92,4;97,7;104;102,3
2016-T3;92,2;97,8;104,1;102,5
2016-T4;91,6;97,7;104,4;102,7
2017-T1;91,6;97,8;104,4;102,9
2017-T2;91,3;98,7;104,2;103,3
2017-T3;91,1;98,6;103,4;103,1
2017-T4;90,1;99,7;103,6;103
2018-T1;89,6;100,9;103;102,9
2018-T2;89,6;102,9;102,9;102,9
2018-T3;88,9;104;102,4;103,1
2018-T4;89,2;105,9;102,8;103,1
2019-T1;89,7;108,7;103,2;103,1
2019-T2;90,1;110,9;104,2;103,3
2019-T3;90,3;112,8;104,6;103,7
2019-T4;90,5;115,2;105;103,7
2020-T1;90,2;114,2;103,2;103,9
2020-T2;89,6;115,1;101,8;102,3
2020-T3;89,5;117,4;103;103,9
2020-T4;89,9;118,5;101,9;104,9
2021-T1;89,9;120,4;102,2;105,4
2021-T2;90,1;120,6;103,7;105,7
2021-T3;91,1;121;105,1;105,6
2021-T4;90,9;120,6;105,7;105,8
2022-T1;91;120,5;105,7;105,7
