;Industrie;Construction;Tertiaire marchand hors interim;Tertiaire non marchand
2011-T1;100;100;100;100
2011-T2;100;100;100;100
2011-T3;99;100;101;100
2011-T4;99;101;101;100
2012-T1;99;102;101;100
2012-T2;99;102;101;100
2012-T3;99;102;101;100
2012-T4;99;103;101;100
2013-T1;99;103;101;100
2013-T2;99;103;101;100
2013-T3;98;103;101;100
2013-T4;97;104;102;101
2014-T1;97;104;102;101
2014-T2;96;104;102;101
2014-T3;96;103;103;101
2014-T4;95;101;103;101
2015-T1;95;101;103;101
2015-T2;95;101;104;101
2015-T3;94;99;104;101
2015-T4;94;99;104;102
2016-T1;93;98;105;102
2016-T2;92;98;105;102
2016-T3;92;98;105;102
2016-T4;92;98;105;103
2017-T1;92;98;106;103
2017-T2;91;99;106;103
2017-T3;91;99;106;103
2017-T4;90;100;107;103
2018-T1;90;101;107;103
2018-T2;90;103;108;103
2018-T3;89;104;108;103
2018-T4;89;106;109;103
2019-T1;90;108;109;103
2019-T2;90;111;110;103
2019-T3;90;113;110;104
2019-T4;90;115;111;104
2020-T1;90;114;110;104
2020-T2;90;116;109;103
2020-T3;90;118;110;104
2020-T4;91;119;109;105
2021-T1;91;120;109;105
2021-T2;91;121;111;105
2021-T3;92;122;113;106
2021-T4;93;121;114;105
2022-T1;93;122;115;105
2022-T2;93;122;116;105
2022-T3;94;123;117;105
2022-T4;94;123;118;105
2023-T1;95;124;119;105
2023-T2;95;124;119;105

