Titre;Industrie;Construction;Tertiaire marchand hors interim;Tertiaire non marchand
2011-T1;100;100;100;100
2011-T2;100,4190281;98,56090616;100,3077472;100,1069079
2011-T3;99,21771373;98,52376826;100,2039405;99,84909711
2011-T4;98,27113228;98,97561278;100,6038632;99,6014052
2012-T1;99,46792476;99,66266403;100,5663458;99,68389585
2012-T2;99,26896177;98,66613023;100,9317245;99,36207234
2012-T3;99,550826;98,87657836;100,3009259;99,15925534
2012-T4;99,51615821;98,70945779;100,3894283;98,6887287
2013-T1;99,48751959;97,10324338;100,1008333;99,09832225
2013-T2;99,04889666;96,41000248;99,72732146;99,26902289
2013-T3;98,22440613;95,94887348;100,2636709;98,16144849
2013-T4;98,15205595;95,54654617;100,5005811;99,61592355
2014-T1;98,02845774;95,9148304;101,0459382;99,57786787
2014-T2;97,15121187;95,55892548;101,0009873;99,27034274
2014-T3;97,58079103;94,27147809;101,3683775;99,4788791
2014-T4;96,81207042;92,4981431;101,644904;98,88824607
2015-T1;95,54744966;91,00024759;101,8148252;98,29607323
2015-T2;94,93699506;90,12750681;102,1962079;98,38252342
2015-T3;94,01754492;88,41606833;102,4585669;98,44763604
2015-T4;93,50355722;89,04122308;102,5198715;98,86382884
2016-T1;93,56234173;87,63617232;102,7775956;99,53783241
2016-T2;93,14331364;86,90888834;102,9131478;99,58072755
2016-T3;92,95037984;86,08875959;103,107206;99,88583295
2016-T4;92,25250211;85,45432038;103,4371663;99,99164095
2017-T1;92,43337755;86,04852686;103,9882953;100,1614617
2017-T2;91,29536959;86,73248329;104,4073702;100,6421072
2017-T3;90,22368262;86,1630354;104,674889;100,3655985
2017-T4;86,15850717;87,6578361;105,5987428;100,2171154
2018-T1;86,16604365;89,00718;105,8864632;100,2795883
2018-T2;86,62124683;91,75229017;106,1809176;99,9947206
2018-T3;87,13824913;91,79871255;106,3935159;100,0866702
2018-T4;87,19703364;94,48192622;107,8029089;99,92366866
2019-T1;86,51121428;98,52995791;108,2873112;99,82577976
2019-T2;86,55944773;101,9992572;108,9146992;99,61394378
2019-T3;86,92572049;103,4971528;110,2606887;99,91992908
2019-T4;85,2842759;105,2704877;110,6467064;99,62868211
2020-T1;84,5743398;104,0882644;108,7998734;99,89485192
2020-T2;84,33467985;105,1157465;106,9654587;98,41156013
2020-T3;83,71819607;108,5912355;108,2813644;99,55851006
2020-T4;82,56360786;109,1111661;106,5699961;100,9423731
2021-T1;83,23284698;111,5467938;107,2796774;101,4100401
2021-T2;83,79205354;112,0295865;109,2478952;101,6876486
2021-T3;85,25865188;112,8589998;112,1267614;101,4216988
2021-T4;86,17207283;112,6330775;112,8516596;101,8491103
2022-T1;87,01012902;112,162664;114,600895;101,8348119
2022-T2;87,48341975;112,3793018;116,5078082;101,5090289
