;Industrie;Construction;Tertiaire marchand hors interim;Tertiaire non marchand
2011-T1;100;100;100;100
2011-T2;100,42;98,56;100,31;100,11
2011-T3;99,22;98,52;100,20;99,85
2011-T4;98,27;98,98;100,60;99,60
2012-T1;99,47;99,66;100,57;99,68
2012-T2;99,27;98,67;100,93;99,36
2012-T3;99,55;98,88;100,30;99,16
2012-T4;99,52;98,71;100,39;98,69
2013-T1;99,49;97,10;100,10;99,10
2013-T2;99,05;96,41;99,73;99,27
2013-T3;98,22;95,95;100,26;98,16
2013-T4;98,15;95,55;100,50;99,62
2014-T1;98,03;95,91;101,05;99,58
2014-T2;97,15;95,56;101,00;99,27
2014-T3;97,58;94,27;101,37;99,48
2014-T4;96,81;92,50;101,64;98,89
2015-T1;95,55;91,00;101,81;98,30
2015-T2;94,94;90,13;102,20;98,38
2015-T3;94,02;88,42;102,46;98,45
2015-T4;93,50;89,04;102,52;98,86
2016-T1;93,56;87,64;102,78;99,54
2016-T2;93,14;86,91;102,91;99,58
2016-T3;92,95;86,09;103,11;99,89
2016-T4;92,25;85,45;103,44;99,99
2017-T1;92,43;86,05;103,99;100,16
2017-T2;91,30;86,73;104,41;100,64
2017-T3;90,22;86,16;104,67;100,37
2017-T4;86,16;87,66;105,60;100,22
2018-T1;86,17;89,01;105,89;100,28
2018-T2;86,62;91,75;106,18;99,99
2018-T3;87,14;91,80;106,39;100,09
2018-T4;87,20;94,48;107,80;99,92
2019-T1;86,51;98,53;108,29;99,83
2019-T2;86,56;102,00;108,91;99,61
2019-T3;86,93;103,50;110,26;99,92
2019-T4;85,28;105,27;110,65;99,63
2020-T1;84,57;104,09;108,80;99,89
2020-T2;84,33;105,12;106,97;98,41
2020-T3;83,72;108,59;108,28;99,56
2020-T4;82,56;109,11;106,57;100,94
2021-T1;83,23;111,55;107,28;101,41
2021-T2;83,79;112,03;109,25;101,69
2021-T3;85,26;112,86;112,13;101,42
2021-T4;86,17;112,63;112,85;101,85
2022-T1;87,01;112,16;114,60;101,83
2022-T2;87,48;112,38;116,51;101,51
