;Industrie;Construction;Tertiaire marchand hors interim;Tertiaire non marchand
2011-T1;100;100;100;100
2011-T2;99,80426438;99,97685675;100,4342634;99,9790072
2011-T3;99,12582143;99,8426259;100,5318367;100,1043374
2011-T4;98,67526778;100,9548244;100,9159848;99,7718991
2012-T1;98,81714596;101,8547662;100,8792807;100,1217791
2012-T2;98,78057113;101,9374207;101,2471112;99,84772385
2012-T3;98,68531581;102,3989632;100,8373034;99,9305462
2012-T4;99,13305601;102,7791737;101,0448231;99,74171541
2013-T1;99,19816724;102,8142192;100,9381153;99,72824242
2013-T2;98,6889331;102,9491113;100,8533303;100,1060084
2013-T3;97,61901891;102,8783591;101,3161599;99,73148012
2013-T4;97,14716344;103,7134998;101,5230983;100,8346989
2014-T1;96,95584896;103,9991536;101,9989238;101,1370579
2014-T2;96,33005768;103,5567869;102,3681245;101,0255141
2014-T3;96,21832359;103,1831887;102,7774341;101,0747062
2014-T4;95,28667028;101,4276079;103,1737892;101,1277626
2015-T1;95,04069452;100,9244075;103,4815811;100,8792956
2015-T2;94,83008782;100,6043694;103,9535867;101,2385754
2015-T3;94,16008521;99,21445197;104,1204993;101,2426486
2015-T4;93,61146279;98,89507512;104,2827616;101,6410941
2016-T1;93,07811338;98,2060675;104,6163377;102,1555744
2016-T2;92,41655111;97,74849238;104,9931782;102,2895733
2016-T3;92,17620225;97,84833898;105,3194882;102,5248806
2016-T4;91,63802978;97,71080195;105,2819951;102,6755902
2017-T1;91,55603786;97,82321202;105,8578021;102,8510524
2017-T2;91,24213742;98,67422239;106,089985;103,2945123
2017-T3;90,96521372;98,55982861;106,2157923;103,0821821
2017-T4;90,025522;99,70178269;106,8922866;103,0435387
2018-T1;89,54803963;100,9878862;107,1556099;102,9395146
2018-T2;89,56612608;102,8783591;107,5939838;102,8993045
2018-T3;88,81815076;104,0593261;107,8566013;103,0964907
2018-T4;89,18068367;105,9240108;108,7072743;103,0673514
2019-T1;89,61596431;108,6602042;109,1270055;103,1262566
2019-T2;90,06209682;110,8660865;109,7385617;103,2832326
2019-T3;90,27350737;112,752592;110,6579097;103,6771871
2019-T4;90,41217017;115,2117277;110,9830156;103,745492
2020-T1;90,10188702;114,0281157;109,2039846;103,8845041
2020-T2;89,6043086;114,8943345;107,597264;102,3465985
2020-T3;89,52673781;117,2417213;108,8085014;103,8716577
2020-T4;89,91579751;118,449799;107,4941684;104,9116892
2021-T1;89,94835313;120,0777613;108,0386689;105,443298
2021-T2;90,25743052;120,3534966;109,5947761;105,6724433
2021-T3;91,24012781;120,8785178;111,677862;105,6354709
2021-T4;91,03755953;120,5432713;112,2824427;105,7942225
2022-T1;91,51142461;120,8950487;113,3332448;105,823884
2022-T2;91,70836599;120,7198212;114,5421986;105,7227843
