;Paris;Métropole du Grand Paris
T1 - 2015;51300;103550
T2 - 2015;51930;98220
T3 - 2015;79320;151880
T4 - 2015;75360;146810
T1 - 2016;66180;146500
T2 - 2016;64270;147390
T3 - 2016;90160;188630
T4 - 2016;87190;180220
T1 - 2017;92240;197320
T2 - 2017;88610;182570
T3 - 2017;83780;166720
T4 - 2017;86650;181330
T1 - 2018;93900;202930
T2 - 2018;72350;162360
T3 - 2018;103500;216700
T4 - 2018;94010;191700
T1 - 2019;80610;161760
T2 - 2019;100460;204900
T3 - 2019;139940;258470
T4 - 2019;177310;311150
T1 - 2020;153500;280660
T2 - 2020;98690;181090
T3 - 2020;105470;244430
T4 - 2020;115230;222930
T1 - 2021;109730;216470
T2 - 2021;124850;250330
T3 - 2021;126300;245670
T4 - 2021;165980;324600
T1 - 2022;171040;333090
T2 - 2022;151590;298090
T3 - 2022;127260;255240
T4 - 2022;160080;334600
T1 - 2023;161860;332240
T2 - 2023;141170;298780
T3 - 2023;121160;251940
T4 - 2023;137660;286940
T1 - 2024;128070;275110
