;Paris;Métropole du Grand Paris
mars-20;505380;1054090
avr-20;644740;1419240
mai-20;605800;1295950
juin-20;350245;712295
juil-20;229770;456865
août-20;167580;317290
sept-20;169615;325895
oct-20;221525;404725
nov-20;330710;632635
déc-20;259825;500615
janv-21;237575;472105
févr-21;246490;493695
mars-21;290825;564315
avr-21;299205;582880
mai-21;242005;466050
juin-21;146890;298535
juil-21;80640;171140
août-21;63300;140855
sept-21;51740;129695
oct-21;29970;93180
nov-21;25415;83540
déc-21;28625;83620
janv-22;44870;106700
févr-22;34770;90860
mars-22;20025;62830
avr-22;5595;36925
mai-22;4080;28085
juin-22;2800;22065
