;Paris;Métropole du Grand Paris
mars-20;43891;505380;1054090
avr-20;43922;644740;1419240
mai-20;43952;605800;1295950
juin-20;43983;350245;712295
juil-20;44013;229770;456865
août-20;44044;167580;317290
sept-20;44075;169615;325895
oct-20;44105;221525;404725
nov-20;44136;330710;632635
déc-20;44166;259825;500615
janv-21;44197;237575;472105
févr-21;44228;246490;493695
mars-21;44256;290825;564315
avr-21;44287;299205;582880
mai-21;44317;242005;466050
juin-21;44348;146890;298535
juil-21;44378;80640;171140
août-21;44409;63300;140855
sept-21;44440;51740;129695
oct-21;44470;29970;93180
nov-21;44501;25415;83540
déc-21;44531;28625;83620
janv-22;44562;44870;106700
févr-22;44593;34770;90860
mars-22;44621;20025;62830
avr-22;44652;5595;36925
mai-22;44682;4080;28085
juin-22;44713;2800;22065
