Titre;2017;2018;2019;2020;2021;2022;2023
janv;64920;63290;63610;63360;71110;67020;64520
févr;64120;63020;63500;63580;70460;66290;63810
mars;63870;63040;63350;64790;70050;66290;63910
avr;63610;62830;63220;66080;69350;65810;63910
mai;63860;63110;63240;67270;68670;65790;64150
juin;63570;63280;63110;68540;68370;65380;63970
juil;63280;63110;63120;69970;69260;65140;63660
août;62960;62980;62980;70660;69380;64830;63830
sept;63050;63450;63210;71560;69310;65180;64010
oct;63370;64150;63780;72500;69210;65540;64270
nov;63690;64330;64040;72950;69030;65770;64600
déc;63210;64050;63590;72130;68210;65140;64240
