;Paris;Métropole du Grand Paris
2015-T1;44,91957934;48,62736013
2015-T2;44,18328384;47,9290443
2015-T3;47,05205382;49,29435484
2015-T4;45,94159255;49,27989759
2016-T1;46,83002987;48,70531897
2016-T2;49,47069812;51,64842752
2016-T3;52,74759152;54,0567716
2016-T4;50,07339332;52,23050142
2017-T1;49,32408183;52,42151665
2017-T2;49,84399376;52,9905995
2017-T3;53,90971231;56,79269695
2017-T4;53,10661662;57,1180131
2018-T1;52,3527494;58,65226103
2018-T2;55,44201234;60,19975449
2018-T3;56,49010096;61,67979003
2018-T4;56,46823566;61,85047402
2019-T1;55,52647856;61,8904432
2019-T2;56,61570047;62,8366734
2019-T3;56,54037771;61,64798298
2019-T4;54,64447665;60,53268228
2020-T1;50,5001563;57,38997525
2020-T2;56,43865965;65,08064266
2020-T3;59,12973164;64,83884563
2020-T4;55,96772817;63,28382361
2021-T1;53,68200105;61,85553245
2021-T2;48,71600061;56,73899199
2021-T3;52,38330859;58,76541338
2021-T4;49,13265541;56,33905736
