date;Paris;Métropole du Grand Paris;Paris (total);MGP (total)
2015-T1;41,5;46;12776;25594
2015-T2;41,3;44,6;11872;23976
2015-T3;42,3;45,8;11515;22985
2015-T4;43,5;47,1;14461;28629
2016-T1;43;45,4;14778;29515
2016-T2;47,1;49;14346;29030
2016-T3;49,9;51,5;12932;25804
2016-T4;46;49,2;16490;32026
2017-T1;46,7;50,1;16795;33738
2017-T2;47,2;50,5;14612;30025
2017-T3;50,8;54,3;13888;28787
2017-T4;49,9;54,5;18265;37360
2018-T1;49,8;56,3;18748;39978
2018-T2;53,2;58;16708;36106
2018-T3;53,9;59,3;15438;33051
2018-T4;53,5;59,4;19801;42238
2019-T1;53,7;60,1;21214;46247
2019-T2;55,1;61,3;18632;40964
2019-T3;54,3;59,5;17149;36516
2019-T4;53,1;59;21156;44813
2020-T1;50,4;57;19015;41204
2020-T2;55,1;63,6;14008;31524
2020-T3;58,5;64,2;19949;45747
2020-T4;54,8;61,9;23809;52765
2021-T1;52;60,5;23349;53199
2021-T2;47,3;55,3;20065;44724
2021-T3;51;57,3;18336;40036
2021-T4;48,5;55,4;22240;47693
2022-T1;46,3;55;23222;51077
2022-T2;45,3;52,9;20227;43529
