;Paris;Métropole du Grand Paris
2015-T1;44,92;48,63
2015-T2;44,18;47,93
2015-T3;47,05;49,29
2015-T4;45,94;49,28
2016-T1;46,83;48,71
2016-T2;49,47;51,65
2016-T3;52,75;54,06
2016-T4;50,07;52,23
2017-T1;49,32;52,42
2017-T2;49,84;52,99
2017-T3;53,91;56,79
2017-T4;53,11;57,12
2018-T1;52,35;58,65
2018-T2;55,44;60,20
2018-T3;56,49;61,68
2018-T4;56,47;61,85
2019-T1;55,53;61,89
2019-T2;56,62;62,84
2019-T3;56,54;61,65
2019-T4;54,64;60,53
2020-T1;50,50;57,39
2020-T2;56,44;65,08
2020-T3;59,13;64,84
2020-T4;55,97;63,28
2021-T1;53,68;61,86
2021-T2;48,72;56,74
2021-T3;52,38;58,77
2021-T4;49,13;56,34
