;Paris;Métropole du Grand Paris
2015-T1;1 138;2 299
2015-T2;1 019;2 160
2015-T3;731;1 646
2015-T4;1 011;2 245
2016-T1;1 087;2 270
2016-T2;1 119;2 295
2016-T3;668;1 494
2016-T4;1 087;2 212
2017-T1;998;2 131
2017-T2;883;1 960
2017-T3;711;1 444
2017-T4;959;2 145
2018-T1;880;2 039
2018-T2;841;2 014
2018-T3;634;1 538
2018-T4;1 016;2 324
2019-T1;869;2 026
2019-T2;868;2 124
2019-T3;640;1 448
2019-T4;907;2 095
2020-T1;700;1 633
2020-T2;354;787
2020-T3;565;1 125
2020-T4;708;1 361
2021-T1;618;1 271
2021-T2;491;1 084
2021-T3;393;845
2021-T4;561;1 191
2022-T1;629;1 381
2022-T2;661;1 368
2022-T3;629;1 196
2022-T4;800;1 547
