;Paris;Métropole du Grand Paris
T1 - 2015;1137;2298
T2 - 2015;1017;2158
T3 - 2015;731;1644
T4 - 2015;1010;2242
T1 - 2016;1085;2266
T2 - 2016;1119;2292
T3 - 2016;668;1493
T4 - 2016;1086;2211
T1 - 2017;996;2128
T2 - 2017;883;1958
T3 - 2017;711;1443
T4 - 2017;959;2142
T1 - 2018;880;2039
T2 - 2018;840;2012
T3 - 2018;634;1537
T4 - 2018;1016;2322
T1 - 2019;868;2021
T2 - 2019;867;2121
T3 - 2019;639;1447
T4 - 2019;907;2095
T1 - 2020;700;1633
T2 - 2020;354;787
T3 - 2020;564;1124
T4 - 2020;707;1366
T1 - 2021;617;1273
T2 - 2021;491;1083
T3 - 2021;394;853
T4 - 2021;559;1185
T1 - 2022;629;1384
