Emploi salarié privé - Hôtellerie-restauration;Paris;Métropole du Grand Paris
2011-T1;138274;208766
2011-T2;139020;209756
2011-T3;140131;211659
2011-T4;140105;211504
2012-T1;141384;213214
2012-T2;141528;213949
2012-T3;141358;214154
2012-T4;144470;217758
2013-T1;141296;213910
2013-T2;142788;215665
2013-T3;142539;215019
2013-T4;143374;216924
2014-T1;144093;217749
2014-T2;143440;217344
2014-T3;144131;217808
2014-T4;146429;221536
2015-T1;146286;221562
2015-T2;146764;222841
2015-T3;146510;222378
2015-T4;147427;224298
2016-T1;148717;226639
2016-T2;149963;228821
2016-T3;153521;234490
2016-T4;151675;231515
2017-T1;153441;234213
2017-T2;154467;235613
2017-T3;155795;237982
2017-T4;156400;238173
2018-T1;158235;239658
2018-T2;160406;242976
2018-T3;162428;246373
2018-T4;161995;245764
2019-T1;160429;244078
2019-T2;163353;248560
2019-T3;166668;253630
2019-T4;164746;252079
2020-T1;154601;238494
2020-T2;150354;232750
2020-T3;154790;240786
2020-T4;143213;225208
2021-T1;139585;220240
2021-T2;149973;236749
2021-T3;159172;247844
2021-T4;159324;246877
2022-T1;157061;243155
