;2019;2020;2021;2022;2023
Janvier;730977077;784199846;497 141 337;841207112;786 468 604
Février;469096725;499390452;302 763 383;363318748
Mars;465999704;455695253;364 195 445;402239861
Avril;692142848;447744518;449 580 100;879 773 316
Mai;632343498;495346396;378 664 024;428 253 806
Juin;475742911;247565763;482 013 177;531 458 988
Juillet;628614355;330857713;464 528 685; 590 186 489
Août;540354481;270896437;366 809 077;429 779 434
Septembre;518260729;281811984;405 607 375;571966222
Octobre;469657216;361287353;447 767 458;606305208
Novembre;466484344;454826233;461 738 372;703785887
Décembre;488625650;297585281;479 913 840;561396557
