Emploi salarié privé - Commerce;Paris;Métropole du Grand Paris
2011-T1;165821;424799
2011-T2;167200;427452
2011-T3;166673;426511
2011-T4;167359;428362
2012-T1;167086;427096
2012-T2;167565;427391
2012-T3;167642;427551
2012-T4;165999;426714
2013-T1;166995;426082
2013-T2;166915;425260
2013-T3;166727;425089
2013-T4;167561;426627
2014-T1;168394;429142
2014-T2;168645;429699
2014-T3;169338;429514
2014-T4;168982;429146
2015-T1;169897;430048
2015-T2;170189;431866
2015-T3;171025;433658
2015-T4;170741;433311
2016-T1;170 008;431776
2016-T2;171 487;434159
2016-T3;171 590;434702
2016-T4;172 558;435417
2017-T1;172 785;435611
2017-T2;174 198;436641
2017-T3;173 410;434937
2017-T4;174 052;436151
2018-T1;174 181;436113
2018-T2;174 522;437024
2018-T3;175 122;437670
2018-T4;176 383;438561
2019-T1;177 733;441122
2019-T2;177 860;441763
2019-T3;178 420;442286
2019-T4;178 277;442327
2020-T1;176 461;438449
2020-T2;171 244;430325
2020-T3;171 956;434363
2020-T4;166 628;426693
2021-T1;166 929;427295
2021-T2;168 439;430545
2021-T3;171 370;434986
2021-T4;171 756;436002
2022-T1;172915;437233
2022-T2;174225;439164
