Montants M€;Paris;Métropole du Grand Paris
Construction;33;106
Santé humaine et action sociale;36;68
Activités financières et d'assurance;44;60
Enseignement;70;122
Activités immobilières;83;116
Industrie manufacturière;86;127
Autres activités de services;133;230
Transports et entreposage;233;865
Information et communication;290;399
Arts, spectacles et activités récréatives;419;645
Activités de services administratifs et de soutien;425;667
Activités spécialisées, scientifiques et techniques;555;850
Commerce;563;948
Hébergement et restauration;1650;2298
