Montants M€;Paris;Métropole du Grand Paris
Transports et entreposage;144;4 619
"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution";156;184
Autres activités de services;223;328
Enseignement;246;389
Santé humaine et action sociale;394;721
Activités immobilières;400;565
Construction;446;1 640
Arts, spectacles et activités récréatives;707;865
Industrie manufacturière;1 039;7 107
Activités de services administratifs et de soutien;1 124;1 836
Information et communication;1 751;2 857
Hébergement et restauration;2 433;3 660
Activités spécialisées, scientifiques et techniques;3 637;6 422
Activités financières et d'assurance;3 997;5 461
Commerce;4 179;7 648
