Titre;Montants M€
Arts, spectacles et activités récréatives;4
Transports et entreposage;4
Santé humaine et action sociale;5
Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;5
Autres activités de services;5
Construction;7
Enseignement;10
Activités immobilières;22
Activités de services administratifs et de soutien;25
Hébergement et restauration;31
Industrie manufacturière;51
Activités financières et d'assurance;52
Commerce;67
Activités spécialisées, scientifiques et techniques;70
Information et communication;114
