date;Paris;Hauts-de-Seine;Seine-Saint-Denis;Val-de-Marne;Ile-de-France
18/02/20;-11,0;-13,1;-12,7;-13,9;-14,1
19/02/20;-11,0;-13,3;-12,7;-14,0;-14,1
20/02/20;-11,1;-13,4;-12,9;-13,9;-14,3
21/02/20;-8,7;-10,4;-10,3;-10,7;-11,1
22/02/20;-6,4;-7,7;-8,0;-7,9;-8,3
23/02/20;-4,4;-5,3;-6,0;-5,6;-5,9
24/02/20;-2,1;-2,6;-3,6;-2,7;-3,0
25/02/20;0,1;0,3;-1,1;0,3;0,0
26/02/20;1,3;1,7;-0,3;1,9;1,3
27/02/20;0,9;1,6;-0,4;1,9;1,3
28/02/20;0,9;1,6;-0,4;1,9;1,3
29/02/20;0,7;1,6;-0,4;1,9;1,3
01/03/20;0,7;1,6;-0,4;1,9;1,3
02/03/20;0,4;1,4;-0,6;1,9;1,3
03/03/20;0,3;1,1;-0,6;1,9;1,3
04/03/20;0,1;1,0;-0,6;1,6;1,1
05/03/20;0,0;0,9;-0,6;1,1;1,0
06/03/20;-0,4;0,4;-0,7;0,9;0,7
07/03/20;-0,9;0,0;-1,0;0,4;0,3
08/03/20;-1,6;-0,6;-1,1;0,0;-0,1
09/03/20;-2,3;-1,0;-1,3;-0,4;-0,6
10/03/20;-3,6;-2,0;-1,9;-1,1;-1,4
11/03/20;-5,1;-3,3;-3,0;-2,3;-2,6
12/03/20;-7,7;-5,4;-5,6;-4,4;-4,6
13/03/20;-15,6;-13,0;-11,6;-11,1;-11,3
14/03/20;-26,4;-23,6;-20,7;-20,7;-20,9
15/03/20;-37,9;-35,1;-31,1;-31,4;-31,6
16/03/20;-49,1;-46,7;-41,7;-42,4;-42,4
17/03/20;-60,1;-57,7;-52,3;-53,3;-53,1
18/03/20;-68,1;-65,7;-60,4;-61,4;-61,1
19/03/20;-73,7;-71,7;-66,3;-67,3;-67,1
20/03/20;-77,7;-76,1;-71,3;-72,0;-71,9
21/03/20;-78,9;-77,6;-73,3;-73,9;-73,7
22/03/20;-79,3;-78,0;-74,0;-74,6;-74,4
23/03/20;-79,6;-78,3;-74,6;-75,0;-74,9
24/03/20;-79,7;-78,6;-75,0;-75,4;-75,1
25/03/20;-80,0;-78,9;-75,4;-75,6;-75,4
26/03/20;-80,4;-79,3;-76,0;-76,0;-76,0
27/03/20;-80,6;-79,4;-76,3;-76,1;-76,1
28/03/20;-80,7;-79,6;-76,3;-76,1;-76,3
29/03/20;-80,7;-79,6;-76,3;-76,0;-76,1
30/03/20;-80,7;-79,7;-76,3;-76,0;-76,1
31/03/20;-80,7;-79,6;-76,1;-76,0;-76,1
01/04/20;-80,6;-79,3;-75,9;-75,9;-76,0
02/04/20;-80,0;-79,0;-75,4;-75,4;-75,4
03/04/20;-80,0;-79,0;-75,3;-75,4;-75,4
04/04/20;-79,9;-78,9;-75,1;-75,4;-75,3
05/04/20;-79,9;-78,7;-75,0;-75,3;-75,3
06/04/20;-79,9;-78,6;-74,9;-75,1;-75,3
07/04/20;-79,9;-78,6;-74,9;-75,0;-75,1
08/04/20;-79,6;-78,4;-74,7;-74,9;-74,9
09/04/20;-79,4;-78,0;-74,6;-74,6;-74,7
10/04/20;-80,3;-79,0;-76,0;-76,0;-76,1
11/04/20;-80,1;-78,9;-75,7;-75,7;-75,9
12/04/20;-80,0;-78,7;-75,4;-75,6;-75,6
