Période;Paris Centre Ouest;Reste Paris;Croissant Ouest et La Défense;1ère Couronne Hors Croissant Ouest;2ème Couronne;Île-de-France
T1 - 2018;145900;149700;220600;110100;76800;703000
T2 - 2018;156900;94300;244200;69600;92300;657200
T3 - 2018;155800;77600;126100;82100;63000;504600
T4 - 2018;183800;97800;154300;144200;140100;720200
T1 - 2019;120500;86500;157100;114200;64900;543200
T2 - 2019;141900;117900;130100;119300;62900;572200
T3 - 2019;139500;103600;136100;106700;99900;585800
T4 - 2019;122400;76000;304700;106700;72600;682400
T1 - 2020;106800;55800;208600;52800;41300;465300
T2 - 2020;45900;33800;63000;29800;32100;204700
T3 - 2020;58600;42200;57500;34300;52200;244800
T4 - 2020;131400;55900;146300;86900;66500;487100
T1 - 2021;90000;41500;112800;37400;67400;349100
T2 - 2021;119600;58600;168600;45000;60800;452500
T3 - 2021;136100;59800;116000;58800;35500;406200
